iter	Passed	Remaining
239	1205	3818
240	1210	3813
241	1215	3807
242	1220	3800
243	1225	3795
244	1229	3789
245	1236	3788
246	1242	3787
247	1246	3781
248	1251	3774
249	1256	3768
250	1260	3762
251	1265	3757
252	1270	3751
253	1275	3746
254	1280	3740
255	1284	3733
256	1290	3729
257	1294	3723
258	1299	3717
259	1303	3711
260	1309	3708
261	1314	3702
262	1319	3696
263	1323	3691
264	1328	3685
265	1333	3679
266	1338	3673
267	1342	3668
268	1347	3662
269	1352	3657
270	1357	3651
271	1361	3645
272	1366	3639
273	1371	3633
274	1376	3627
275	1380	3621
276	1384	3614
277	1389	3609
278	1394	3603
279	1399	3598
280	1403	3592
281	1408	3586
282	1413	3580
283	1417	3574
284	1422	3568
285	1426	3561
286	1431	3556
287	1439	3559
288	1444	3553
289	1449	3548
290	1455	3546
291	1460	3540
292	1465	3535
293	1470	3530
294	1475	3525
295	1479	3519
296	1484	3513
297	1489	3509
298	1494	3503
299	1498	3497
300	1504	3493
301	1508	3487
302	1513	3481
303	1518	3476
304	1523	3470
305	1527	3464
306	1532	3458
307	1537	3454
308	1542	3448
309	1546	3442
310	1551	3437
311	1556	3431
312	1560	3425
313	1565	3419
314	1569	3414
315	1574	3408
316	1579	3402
317	1583	3396
318	1588	3390
319	1592	3384
320	1597	3378
321	1601	3373
322	1606	3367
323	1611	3361
324	1615	3355
325	1620	3350
326	1624	3344
327	1629	3338
328	1638	3341
329	1642	3335
330	1647	3329
331	1652	3325
332	1657	3319
333	1661	3313
334	1668	3311
335	1672	3305
336	1677	3300
337	1682	3295
338	1686	3289
339	1691	3283
340	1696	3278
341	1701	3272
342	1705	3267
343	1710	3261
344	1715	3256
345	1719	3250
346	1724	3245
347	1729	3240
348	1734	3235
349	1738	3229
350	1743	3223
351	1748	3218
352	1752	3212
353	1757	3207
354	1762	3201
355	1766	3196
356	1771	3190
357	1775	3184
358	1780	3179
359	1785	3173
360	1789	3168
361	1794	3162
362	1798	3156
363	1803	3150
364	1807	3145
365	1812	3140
366	1817	3134
367	1822	3129
368	1826	3123
369	1833	3121
370	1838	3116
371	1843	3111
372	1848	3107
373	1853	3101
374	1857	3095
375	1862	3090
376	1867	3086
377	1872	3080
378	1876	3075
379	1882	3072
380	1887	3066
381	1892	3061
382	1907	3073
383	1915	3073
384	1920	3067
385	1925	3062
386	1931	3060
387	1940	3060
388	1946	3057
389	1951	3051
390	1955	3046
391	1960	3040
392	1965	3035
393	1974	3036
394	1980	3033
395	1985	3027
396	1992	3026
397	1999	3025
398	2004	3019
399	2009	3014
400	2015	3011
401	2022	3008
402	2027	3004
403	2033	3000
404	2039	2996
405	2047	2995
406	2053	2991
407	2058	2986
408	2065	2984
409	2069	2978
410	2074	2972
411	2080	2969
412	2085	2963
413	2090	2958
414	2096	2954
415	2100	2949
416	2105	2943
417	2111	2939
418	2115	2933
419	2120	2928
420	2125	2923
421	2130	2918
422	2135	2912
423	2139	2907
424	2145	2902
425	2150	2897
426	2154	2891
427	2160	2887
428	2165	2881
429	2172	2880
430	2178	2876
431	2183	2871
432	2188	2865
433	2194	2861
434	2198	2855
435	2203	2850
436	2209	2846
437	2213	2840
438	2218	2834
439	2224	2830
440	2228	2824
441	2233	2819
442	2238	2813
443	2243	2809
444	2247	2803
445	2252	2798
446	2258	2793
447	2262	2788
448	2268	2783
449	2273	2778
450	2278	2773
451	2283	2767
452	2287	2762
453	2294	2759
454	2299	2754
455	2304	2749
456	2310	2745
457	2315	2739
458	2320	2734
459	2325	2729
460	2330	2724
461	2334	2718
462	2340	2714
463	2344	2708
464	2349	2703
465	2354	2698
466	2361	2694
467	2371	2695
468	2377	2691
469	2382	2686
470	2387	2681
471	2393	2677
472	2398	2671
473	2404	2668
474	2409	2663
475	2416	2659
476	2422	2655
477	2426	2650
478	2431	2645
479	2439	2642
480	2444	2637
481	2448	2631
482	2455	2627
483	2460	2622
484	2465	2617
485	2471	2613
486	2476	2608
487	2481	2603
488	2487	2599
489	2492	2593
490	2496	2588
491	2502	2583
492	2507	2578
493	2512	2573
494	2516	2567
495	2522	2562
496	2526	2557
497	2531	2551
498	2537	2547
499	2542	2542
500	2546	2536
501	2552	2531
502	2556	2526
503	2561	2520
504	2571	2520
505	2576	2515
506	2581	2509
507	2587	2505
508	2591	2499
509	2596	2494
510	2602	2490
511	2606	2484
512	2611	2479
513	2617	2474
514	2623	2470
515	2627	2464
516	2633	2460
517	2639	2455
518	2644	2450
519	2650	2447
520	2655	2441
521	2660	2435
522	2665	2430
523	2670	2426
524	2675	2420
525	2680	2415
526	2685	2410
527	2690	2404
528	2695	2399
529	2701	2395
530	2705	2389
531	2710	2384
532	2716	2379
533	2720	2374
534	2725	2368
535	2730	2363
536	2737	2360
537	2742	2354
538	2746	2348
539	2752	2344
540	2757	2339
541	2761	2333
542	2770	2331
543	2775	2326
544	2780	2321
545	2785	2316
546	2790	2310
547	2795	2305
548	2802	2302
549	2806	2296
550	2811	2291
551	2819	2288
552	2824	2282
553	2828	2277
554	2834	2272
555	2838	2267
556	2843	2261
557	2849	2257
558	2854	2251
559	2858	2246
560	2865	2242
561	2869	2236
562	2874	2231
563	2880	2226
564	2885	2221
565	2890	2216
566	2894	2210
567	2900	2206
568	2905	2200
569	2910	2195
570	2915	2190
571	2920	2185
572	2925	2179
573	2931	2175
574	2935	2169
575	2940	2164
576	2945	2159
577	2950	2154
578	2955	2148
579	2959	2143
580	2967	2139
581	2971	2134
582	2977	2129
583	2982	2124
584	2986	2118
585	2991	2113
586	2996	2108
587	3001	2102
588	3005	2097
589	3010	2092
590	3015	2086
591	3019	2081
592	3024	2075
593	3029	2070
594	3033	2064
595	3038	2059
596	3043	2054
597	3047	2048
598	3052	2043
599	3056	2037
600	3061	2032
601	3066	2027
602	3071	2021
603	3076	2016
604	3080	2011
605	3085	2005
606	3089	2000
607	3114	2008
608	3131	2010
609	3151	2014
610	3160	2012
611	3167	2007
612	3178	2006
613	3188	2004
614	3197	2001
615	3216	2005
616	3231	2005
617	3248	2008
618	3256	2004
619	3264	2001
620	3271	1996
621	3285	1996
622	3294	1993
623	3302	1989
624	3317	1990
625	3327	1988
626	3333	1983
627	3340	1978
628	3352	1977
629	3360	1973
630	3368	1969
631	3377	1966
632	3388	1964
633	3395	1960
634	3399	1954
635	3406	1949
636	3418	1948
637	3429	1945
638	3435	1941
639	3443	1936
640	3457	1936
641	3462	1930
642	3467	1925
643	3472	1919
644	3478	1914
645	3486	1910
646	3492	1905
647	3497	1899
648	3502	1894
649	3509	1889
650	3516	1885
651	3524	1881
652	3528	1875
653	3533	1869
654	3540	1864
655	3547	1860
656	3554	1855
657	3561	1850
658	3566	1845
659	3573	1840
660	3578	1835
661	3583	1829
662	3590	1824
663	3594	1819
664	3599	1813
665	3606	1808
666	3611	1803
667	3616	1797
668	3624	1793
669	3629	1787
670	3634	1781
671	3641	1777
672	3646	1771
673	3656	1768
674	3661	1762
675	3666	1757
676	3673	1752
677	3677	1746
678	3687	1743
679	3693	1737
680	3698	1732
681	3705	1727
682	3709	1721
683	3714	1716
684	3723	1712
685	3728	1706
686	3734	1701
687	3740	1696
688	3745	1690
689	3751	1685
690	3757	1680
691	3761	1674
692	3767	1669
693	3773	1663
694	3777	1657
695	3783	1652
696	3789	1647
697	3793	1641
698	3798	1635
699	3804	1630
700	3809	1624
701	3814	1619
702	3821	1614
703	3825	1608
704	3830	1602
705	3837	1597
706	3841	1592
707	3846	1586
708	3852	1581
709	3857	1575
710	3862	1569
711	3868	1564
712	3872	1558
713	3877	1553
714	3883	1547
715	3888	1542
716	3892	1536
717	3898	1531
718	3903	1525
719	3907	1519
720	3912	1514
721	3920	1509
722	3925	1503
723	3930	1498
724	3953	1499
725	3962	1495
726	3969	1490
727	3975	1485
728	3984	1481
729	3991	1476
730	3998	1471
731	4004	1466
732	4011	1461
733	4019	1456
734	4039	1456
735	4045	1450
736	4056	1447
737	4073	1446
738	4082	1441
739	4092	1437
740	4117	1439
741	4124	1434
742	4134	1430
743	4141	1424
744	4150	1420
745	4157	1415
746	4169	1412
747	4174	1406
748	4180	1400
749	4186	1395
750	4194	1390
751	4209	1388
752	4216	1383
753	4221	1377
754	4226	1371
755	4242	1369
756	4250	1364
757	4255	1358
758	4265	1354
759	4274	1349
760	4280	1344
761	4286	1338
762	4296	1334
763	4306	1330
764	4312	1324
765	4319	1319
766	4325	1314
767	4336	1310
768	4341	1304
769	4346	1298
770	4351	1292
771	4356	1286
772	4361	1280
773	4370	1276
774	4376	1270
775	4381	1264
776	4385	1258
777	4390	1252
778	4397	1247
779	4403	1242
780	4410	1236
781	4414	1230
782	4419	1224
783	4424	1218
784	4432	1214
785	4437	1208
786	4443	1202
787	4447	1196
788	4452	1190
789	4458	1185
790	4463	1179
791	4467	1173
792	4472	1167
793	4477	1161
794	4482	1155
795	4486	1149
796	4491	1144
797	4496	1138
798	4501	1132
799	4506	1126
800	4511	1120
801	4515	1114
802	4520	1108
803	4525	1103
804	4529	1097
805	4534	1091
806	4539	1085
807	4544	1079
808	4548	1073
809	4553	1068
810	4558	1062
811	4563	1056
812	4568	1050
813	4573	1044
814	4577	1039
815	4582	1033
816	4587	1027
817	4592	1021
818	4597	1016
819	4602	1010
820	4607	1004
821	4612	998
822	4616	992
823	4621	987
824	4626	981
825	4634	976
826	4640	970
827	4645	964
828	4650	959
829	4655	953
830	4660	947
831	4665	942
832	4670	936
833	4674	930
834	4679	924
835	4684	918
836	4689	913
837	4693	907
838	4698	901
839	4703	895
840	4708	890
841	4712	884
842	4717	878
843	4722	872
844	4727	867
845	4731	861
846	4737	855
847	4741	849
848	4746	844
849	4752	838
850	4757	832
851	4762	827
852	4767	821
853	4772	815
854	4776	810
855	4781	804
856	4786	798
857	4791	792
858	4795	787
859	4803	781
860	4808	776
861	4814	770
862	4819	765
863	4824	759
864	4829	753
865	4837	748
866	4842	742
867	4847	737
868	4853	731
869	4857	725
870	4862	720
871	4869	714
872	4875	709
873	4880	703
874	4886	698
875	4890	692
876	4895	686
877	4900	680
878	4905	675
879	4909	669
880	4914	663
881	4919	658
882	4924	652
883	4928	646
884	4933	641
885	4938	635
886	4943	629
887	4947	624
888	4952	618
889	4957	612
890	4962	607
891	4967	601
892	4971	595
893	4975	589
894	4980	584
895	4985	578
896	4990	573
897	4995	567
898	5000	561
899	5007	556
900	5012	550
901	5017	545
902	5022	539
903	5027	533
904	5032	528
905	5038	522
906	5044	517
907	5050	511
908	5054	506
909	5059	500
910	5064	494
911	5069	489
912	5077	483
913	5082	478
914	5086	472
915	5091	466
916	5096	461
917	5101	455
918	5105	450
919	5110	444
920	5117	438
921	5123	433
922	5130	427
923	5138	422
924	5144	417
925	5149	411
926	5154	405
927	5158	400
928	5164	394
929	5170	389
930	5181	384
931	5189	378
932	5201	373
933	5207	367
934	5223	363
935	5246	358
936	5256	353
937	5263	347
938	5272	342
939	5291	337
940	5300	332
941	5305	326
942	5312	321
943	5326	315
944	5332	310
945	5338	304
946	5347	299
947	5359	293
948	5364	288
949	5369	282
950	5374	276
951	5381	271
952	5397	266
953	5401	260
954	5405	254
955	5412	249
956	5427	243
957	5431	238
958	5435	232
959	5440	226
960	5446	221
961	5457	215
962	5463	209
963	5470	204
964	5478	198
965	5489	193
966	5496	187
967	5501	181
968	5506	176
969	5512	170
970	5517	164
971	5525	159
972	5530	153
973	5535	147
974	5540	142
975	5545	136
976	5550	130
977	5558	125
978	5562	119
979	5567	113
980	5573	107
981	5577	102
982	5582	96
983	5590	90
984	5595	85
985	5600	79
986	5605	73
987	5610	68
988	5614	62
989	5619	56
990	5625	51
991	5630	45
992	5634	39
993	5639	34
994	5644	28
995	5648	22
996	5654	17
997	5659	11
998	5663	5
999	5668	0
