iter	Logloss
0	0.648567408
1	0.6123921261
2	0.5717708573
3	0.5376269524
4	0.5064446928
5	0.4741631691
6	0.4497549756
7	0.4257146209
8	0.4071029508
9	0.3883526363
10	0.369373675
11	0.3496674861
12	0.3347585588
13	0.3221088382
14	0.3094878473
15	0.298008027
16	0.2866620599
17	0.2744911669
18	0.2654222471
19	0.2563301751
20	0.2476227787
21	0.2406940542
22	0.2329828864
23	0.2264505118
24	0.2181945329
25	0.2126293006
26	0.2060145258
27	0.2010559697
28	0.1968089584
29	0.1927666477
30	0.1890330142
31	0.1841113372
32	0.1796438494
33	0.176001612
34	0.1722719459
35	0.16852162
36	0.1650921723
37	0.1609864637
38	0.1581782291
39	0.1563996114
40	0.1533869259
41	0.1501984489
42	0.1475965612
43	0.1453219604
44	0.1427845414
45	0.1405691939
46	0.1380638703
47	0.1358230603
48	0.1336350869
49	0.1318799887
50	0.1295776285
51	0.128393533
52	0.12684759
53	0.1250803967
54	0.1237910576
55	0.1220869511
56	0.1206516717
57	0.1192277194
58	0.118191181
59	0.1167132927
60	0.1156261212
61	0.1143664153
62	0.1130692641
63	0.1119772946
64	0.1107718302
65	0.1099019462
66	0.1086628286
67	0.1078808401
68	0.1071936566
69	0.1062517101
70	0.1054644403
71	0.104917625
72	0.1041920735
73	0.1030021778
74	0.1025131729
75	0.1017310893
76	0.1008747177
77	0.1002247604
78	0.09939813606
79	0.09870412607
80	0.09817327385
81	0.09735923206
82	0.09658220403
83	0.09624865552
84	0.095574154
85	0.09498793888
86	0.09450707986
87	0.09377698494
88	0.09318811584
89	0.09265397709
90	0.09215201562
91	0.09182287094
92	0.091080881
93	0.09079644754
94	0.09027754043
95	0.08973521989
96	0.08948690673
97	0.08900923003
98	0.08853723216
99	0.08813717477
100	0.08776796361
101	0.08737581827
102	0.08681170451
103	0.08625140752
104	0.08566307929
105	0.08522613279
106	0.08488918251
107	0.08445977963
108	0.08402616376
109	0.08336792978
110	0.0829599458
111	0.08258602833
112	0.08219363188
113	0.08198300932
114	0.08159373843
115	0.08114221479
116	0.0806630545
117	0.08031992206
118	0.07995135851
119	0.07971231143
120	0.07931385928
121	0.07898988043
122	0.07872792469
123	0.07847664081
124	0.07795921894
125	0.07777622391
126	0.07740717361
127	0.07701756315
128	0.07674947257
129	0.07647590548
130	0.07615962872
131	0.07577780754
132	0.07551437812
133	0.07515921048
134	0.07491183175
135	0.0745163408
136	0.07426875259
137	0.07398008456
138	0.07375854158
139	0.07348574182
140	0.07307700211
141	0.07284780346
142	0.07268351207
143	0.07239117085
144	0.07198044187
145	0.07161819263
146	0.07133445889
147	0.07091519536
148	0.0707010974
149	0.07045860942
150	0.07008333889
151	0.06972761536
152	0.06941273489
153	0.06920541705
154	0.06898246565
155	0.06873632232
156	0.06847246723
157	0.06813392839
158	0.06798434722
159	0.06779111864
160	0.06753740837
161	0.06732670277
162	0.06702549136
163	0.066803706
164	0.06660042824
165	0.06640004202
166	0.06626882258
167	0.06602141567
168	0.06576522768
169	0.06548420714
170	0.06519495807
171	0.0650091176
172	0.06477021154
173	0.06455137987
174	0.06431918577
175	0.06414465558
176	0.06394698197
177	0.06374557529
178	0.06353439564
179	0.06323532379
180	0.0631029645
181	0.06276869016
182	0.06251552422
183	0.06212009819
184	0.0620532958
185	0.06187514806
186	0.06155201264
187	0.06136358268
188	0.06109669485
189	0.06088854067
190	0.06049143095
191	0.06028061139
192	0.06014078325
193	0.05995685691
194	0.05972030166
195	0.05956114622
196	0.05943311836
197	0.05926327127
198	0.05895631135
199	0.05885805538
200	0.05857168476
201	0.05839060108
202	0.05824216701
203	0.05802722413
204	0.0578490877
205	0.05764527031
206	0.05750564487
207	0.05722281073
208	0.05708400523
209	0.05692480994
210	0.0567066321
211	0.05643930861
212	0.05622589221
213	0.05607812078
214	0.0558402472
215	0.05568314364
216	0.0553864318
217	0.05520783793
218	0.05502905475
219	0.05489650973
220	0.05463372538
221	0.05450550045
222	0.05428621765
223	0.05410214535
224	0.05393125359
225	0.05383422701
226	0.0535833253
227	0.05344244073
228	0.05323832481
229	0.05306760879
230	0.05299670018
231	0.05282186424
232	0.05265540064
233	0.05253032875
234	0.0524116204
235	0.05231646872
236	0.0521219694
237	0.05195200822
238	0.05181197401
239	0.05168820201
240	0.0514931097
241	0.0512267751
242	0.0510587131
243	0.05086290685
244	0.05064955585
245	0.05047641791
246	0.05037094326
247	0.05021641324
248	0.05005034139
249	0.04995441515
250	0.04983382161
251	0.04965019723
252	0.04944763653
253	0.04934775016
254	0.04927151445
255	0.04907928467
256	0.04885920588
257	0.04872325075
258	0.04856081907
259	0.04843154524
260	0.04830063681
261	0.04807485376
262	0.04795502472
263	0.0477538883
264	0.04762435337
265	0.04747361204
266	0.04737368024
267	0.0471020284
268	0.04695044635
269	0.0467729659
270	0.04667204207
271	0.04653446264
272	0.04642100173
273	0.0462002874
274	0.04595576343
275	0.04565935888
276	0.04557789708
277	0.04540287734
278	0.04525636114
279	0.04503522577
280	0.04488364531
281	0.04479090143
282	0.04466427666
283	0.04457485835
284	0.04440734202
285	0.0442713147
286	0.04407767179
287	0.0439607924
288	0.04382832988
289	0.04367949755
290	0.04354679325
291	0.04341506529
292	0.04330357568
293	0.0432457164
294	0.04310502985
295	0.04287202762
296	0.04273316693
297	0.04255706968
298	0.04247492378
299	0.04237105171
300	0.04228184723
301	0.04215459692
302	0.04191715462
303	0.04177884598
304	0.0415981559
305	0.04142673443
306	0.04132449829
307	0.04116443806
308	0.04096136562
309	0.04088575137
310	0.0407643413
311	0.04055279779
312	0.04048336851
313	0.04037295579
314	0.04029860386
315	0.04016499701
316	0.0400928052
317	0.04002136013
318	0.03991759895
319	0.03980229339
320	0.03968287923
321	0.03958608945
322	0.03950912431
323	0.03940755505
324	0.0392803359
325	0.039174597
326	0.03909619167
327	0.03899115704
328	0.03886648214
329	0.03878365396
330	0.03863433033
331	0.03846864187
332	0.03835390897
333	0.03824834422
334	0.03805798719
335	0.03791028735
336	0.03771592624
337	0.03753905341
338	0.03747210842
339	0.03736268456
340	0.03710601817
341	0.03700639148
342	0.03686096774
343	0.03669873134
344	0.03656952836
345	0.03644647708
346	0.0363509523
347	0.03621873461
348	0.03612636494
349	0.03604553268
350	0.03592274156
351	0.0358374033
352	0.03573481342
353	0.03558768457
354	0.03544757626
355	0.0353480564
356	0.03524269107
357	0.03512942999
358	0.0350251868
359	0.03497546637
360	0.03486067869
361	0.03470315828
362	0.03462885792
363	0.03447859138
364	0.0343495288
365	0.03425558443
366	0.03412645472
367	0.03401393478
368	0.03388240863
369	0.03380032401
370	0.03372767397
371	0.03367571354
